date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:02	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:45%20GMT	https://comfycool.in/revolution/fonts/revicons/revicons90c690c6.svg?5510888	D:/comfycool/comfycool.in/revolution/fonts/revicons/revicons90c690c690c6.svg	(from https://comfycool.in/revolution/css/settings.css)
14:46:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:45%20GMT	https://comfycool.in/revolution/css/openhand.html	D:/comfycool/comfycool.in/revolution/css/openhand.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:45%20GMT	https://comfycool.in/revolution/css/closedhand.html	D:/comfycool/comfycool.in/revolution/css/closedhand.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:45%20GMT	https://comfycool.in/revolution/assets/gridtile.html	D:/comfycool/comfycool.in/revolution/assets/gridtile.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:46%20GMT	https://comfycool.in/revolution/assets/gridtile_white.html	D:/comfycool/comfycool.in/revolution/assets/gridtile_white.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:46%20GMT	https://comfycool.in/revolution/assets/gridtile_3x3.html	D:/comfycool/comfycool.in/revolution/assets/gridtile_3x3.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:46%20GMT	https://comfycool.in/revolution/assets/gridtile_3x3_white.html	D:/comfycool/comfycool.in/revolution/assets/gridtile_3x3_white.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:46%20GMT	https://comfycool.in/revolution/assets/coloredbg.html	D:/comfycool/comfycool.in/revolution/assets/coloredbg.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2009:15:47%20GMT	https://comfycool.in/revolution/assets/loader.html	D:/comfycool/comfycool.in/revolution/assets/loader.html	(from https://comfycool.in/revolution/css/settings.css)
14:46:05	6682/6682	---M--	200	added ('OK')	image/png	etag:%221a1a-602b7008-3f2098f205a2dec3;;;%22	https://comfycool.in/images/prettyPhoto/default/sprite.png	D:/comfycool/comfycool.in/images/prettyPhoto/default/sprite.png	(from https://comfycool.in/css/prettyPhoto.css)
14:46:05	1097/1097	---M--	200	added ('OK')	image/png	etag:%22449-602b700a-250b6d415b315648;;;%22	https://comfycool.in/images/prettyPhoto/default/sprite_x.png	D:/comfycool/comfycool.in/images/prettyPhoto/default/sprite_x.png	(from https://comfycool.in/css/prettyPhoto.css)
